""number"",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B""
6197,-1.05745099801947,-0.595580373420098,-2.36768834405671,0.0187132411969142,0.149633369265877,-3.38789603420639
6198,-0.543554382017185,-0.577257924090857,-1.28524599154584,0.199975841268352,0.479545666436091,-5.22378233361234
6199,-0.234388841119893,-0.467327301508848,-0.571815534186344,0.567995347374528,0.793314293154303,-5.8462384474574
6200,-0.134304778440942,-0.41992166370067,-0.322442467574047,0.74740516681238,0.888672276209888,-5.95137646985427
6201,-0.648698860447539,-0.440922662569574,-1.4302540551732,0.153976853805081,0.421905397699445,-5.03949651305571
6202,-1.1960300240393,-0.5427017436029,-2.59979575133407,0.00992076121023295,0.110248691542664,-2.85860774314254
6203,-1.26141731863599,-0.589846169659898,-2.83262710992707,0.00501890725188645,0.07873010792941,-2.2810588501077
6204,-1.0838451914001,-0.577763881491196,-2.45786317747775,0.0147022611189188,0.133843417289777,-3.18782359673785
6205,-1.07669638513862,-0.592594026487145,-2.5018637776713,0.0130376354197059,0.126355548749956,-3.08762903530357
6206,-1.1635585419253,-0.55504334110103,-2.84618128637525,0.00481707378930316,0.0771154412822563,-2.24601563425169
6207,-1.01185928406588,-0.568320040446186,-2.44287078508184,0.015311077190331,0.136610660720062,-3.22157871909147
6208,-0.475859891356545,-0.61865333377645,-1.17540256768263,0.241027224134797,0.52750354618777,-5.35046636566838
6209,-0.632844224163258,-0.650583489525192,-1.62301543568425,0.105931333421975,0.353049784609152,-4.76465788461569
6210,-0.578508569650448,-0.566458287565965,-1.56902117811351,0.117993050795269,0.371130808418136,-4.84506652508695
6211,-0.384131144678258,-0.509491650102712,-1.09982983525682,0.272535476576578,0.562039158112425,-5.43113808683314
6212,-0.280081107728149,-0.421390082633136,-0.749211237955368,0.45448172942388,0.713712008351287,-5.73586790206118
6213,-0.0525502828138347,-0.323545618111109,-0.132956569015331,0.89434189278071,0.959356288130949,-5.99208826482634
6214,0.198706189084886,-0.198196341128157,0.470768987206459,0.638243865646314,0.83623249215671,-5.89589363327057
6215,0.823426014752429,-0.215357719905064,1.93792769101807,0.0538341074420671,0.254316694070808,-4.24300019319015
6216,0.499037509678317,-0.395850023622896,1.17685490229384,0.24044809846324,0.527082583667617,-5.34886418859804
6217,-0.21307146176065,-0.656043912824267,-0.488810563348487,0.625433228454552,0.828141292043451,-5.88773206228843
6218,-0.194285825056487,-0.849278241379925,-0.442855078195179,0.658279314346131,0.846640002262377,-5.90791762142743
6219,0.25693921897561,-0.909801894409633,0.597877124486664,0.550499602661852,0.781054324227085,-5.83187458693897
6220,0.413042695055432,-0.748766591949339,0.98957499104519,0.323403149560584,0.608173450764716,-5.53931741467943
6221,0.290681294339164,-0.601259114235183,0.680208859394442,0.497044058268106,0.744112105198212,-5.78230758485829
6222,0.439466426073293,-0.408428026408463,1.0364970724525,0.301039282383409,0.588930578740681,-5.49466051616335
6223,0.615790633241304,-0.251981775943537,1.4697936567765,0.142959699601721,0.404856604067748,-4.98589321953696
6224,0.897061587531889,-0.159855197996792,2.04221089167958,0.0422509535626654,0.225443130162128,-4.05057847928556
6225,0.727174756997636,-0.177603993589489,1.55473578283903,0.12135925735899,0.377298520085273,-4.86589550067984
6226,0.567360547634329,-0.307596651239397,1.17158654716628,0.242553590344243,0.529192028271689,-5.35466678683973
6227,0.12454173486294,-0.595337760408091,0.251869925310289,0.801362485343978,0.916469133246735,-5.97049657278998
